                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0404,                 1.9739,                 1.6299,                0.46575,                0.50413,                0.43276,                0.16794,                 1.9256,                 4.4214,                 1.6702,                0.00054,                0.00054,                0.00054
                      2,                 1.8856,                 1.2752,                  1.489,                0.44013,                0.54846,                0.37313,                0.16607,                 1.9391,                 3.2281,                 1.7473,              0.0010832,              0.0010832,              0.0010832
                      3,                 1.8748,                 1.2907,                 1.5206,                0.41934,                0.54933,                0.34528,                 0.1433,                 2.1601,                 2.9331,                 2.0353,              0.0016094,              0.0016094,              0.0016094
                      4,                 1.9091,                 1.2642,                 1.5437,                 0.2615,                0.46371,                0.17106,                0.06182,                 2.2913,                 3.9277,                 2.0184,              0.0019086,              0.0019086,              0.0019086
                      5,                 1.9055,                 1.2549,                 1.5285,                0.48727,                0.57627,                 0.4335,                0.15975,                 2.1714,                 1.9768,                 2.0499,              0.0019086,              0.0019086,              0.0019086
                      6,                 1.8912,                 1.1925,                 1.5275,                0.55871,                0.64982,                0.55742,                0.25785,                 1.9161,                 1.4892,                  1.682,              0.0018782,              0.0018782,              0.0018782
                      7,                 1.7971,                  1.068,                 1.4509,                0.65921,                0.66015,                0.65243,                0.29825,                 1.8758,                 1.3105,                 1.6426,              0.0018477,              0.0018477,              0.0018477
                      8,                 1.8253,                 1.1006,                 1.4797,                 0.6794,                0.68144,                0.70418,                 0.3362,                 1.7873,                 1.2266,                 1.5792,              0.0018172,              0.0018172,              0.0018172
                      9,                  1.814,                  1.061,                 1.4671,                0.70333,                0.66406,                0.68218,                 0.3062,                 1.8883,                 1.2921,                 1.6234,              0.0017868,              0.0017868,              0.0017868
                     10,                 1.7498,                   1.01,                 1.4304,                0.75263,                0.69021,                 0.7516,                0.35252,                 1.8333,                 1.0609,                 1.5617,              0.0017563,              0.0017563,              0.0017563
                     11,                 1.7451,                 1.0031,                 1.4482,                0.73836,                0.70143,                 0.7589,                 0.3677,                  1.847,                 1.0373,                 1.5915,              0.0017258,              0.0017258,              0.0017258
                     12,                 1.7511,                0.99852,                 1.4374,                0.73712,                0.70752,                0.75556,                0.36416,                 1.8142,                 1.0648,                 1.5819,              0.0016954,              0.0016954,              0.0016954
                     13,                 1.7168,                0.97729,                 1.4134,                0.76246,                0.70166,                0.76137,                0.36559,                 1.7893,                   1.09,                 1.5638,              0.0016649,              0.0016649,              0.0016649
                     14,                 1.7208,                0.96712,                 1.4052,                0.74518,                0.70317,                0.76866,                0.37296,                 1.7628,                 1.0206,                 1.5481,              0.0016345,              0.0016345,              0.0016345
                     15,                 1.6985,                0.95402,                 1.4056,                0.74797,                0.69144,                0.76407,                0.37206,                 1.8267,                 1.0171,                 1.5877,               0.001604,               0.001604,               0.001604
                     16,                 1.7244,                0.94607,                  1.406,                0.74093,                0.74055,                0.79192,                0.39291,                 1.7567,                0.99562,                 1.5318,              0.0015735,              0.0015735,              0.0015735
                     17,                  1.683,                0.91362,                 1.3804,                 0.7422,                0.71192,                0.77142,                0.37705,                 1.7989,                 1.0151,                 1.5512,              0.0015431,              0.0015431,              0.0015431
                     18,                 1.6744,                0.93634,                 1.3825,                0.75895,                0.71882,                0.78391,                0.38088,                 1.7622,                0.98947,                 1.5438,              0.0015126,              0.0015126,              0.0015126
