                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7537,                 2.0005,                 1.6169,                0.64738,                0.56983,                0.59357,                 0.2505,                 1.8789,                 2.3767,                 2.1013,                 0.0005,                 0.0005,                 0.0005
                      2,                 1.7446,                 1.4619,                 1.5578,                0.44068,                0.51828,                0.36998,                0.14087,                 2.0132,                 2.9561,                 2.4388,              0.0010032,              0.0010032,              0.0010032
                      3,                 1.7784,                  1.363,                 1.5689,                 0.2831,                0.54656,                0.22549,                0.07765,                 2.1861,                 5.8233,                 2.8074,              0.0014892,              0.0014892,              0.0014892
                      4,                 1.8647,                 1.5401,                 1.6944,                0.20468,                0.61592,                0.17557,                0.06296,                 2.4031,                 9.9753,                 2.8172,               0.001901,               0.001901,               0.001901
                      5,                 1.8369,                 1.5345,                 1.7071,                0.34482,                0.49764,                0.29077,                0.10325,                 2.2996,                 5.8056,                 2.4803,               0.001901,               0.001901,               0.001901
                      6,                 1.8502,                 1.4817,                 1.6666,                0.57963,                0.48883,                0.50676,                0.18949,                 2.2797,                 2.8466,                  2.274,               0.001868,               0.001868,               0.001868
                      7,                 1.7578,                  1.363,                 1.6032,                0.52529,                0.62709,                0.54758,                0.24095,                 1.7743,                 2.0184,                 1.8483,               0.001835,               0.001835,               0.001835
                      8,                 1.7695,                  1.276,                 1.5803,                0.55853,                0.56983,                0.52841,                0.21202,                 1.9678,                 2.8612,                 2.1372,               0.001802,               0.001802,               0.001802
                      9,                 1.7608,                 1.2346,                 1.5862,                0.59924,                 0.6077,                0.61252,                0.26993,                 1.9523,                 2.1106,                 1.9849,               0.001769,               0.001769,               0.001769
                     10,                 1.7293,                 1.1771,                 1.5636,                0.61208,                0.58399,                0.58406,                0.23786,                 1.9449,                 2.1418,                 2.0438,               0.001736,               0.001736,               0.001736
                     11,                 1.7115,                 1.1354,                 1.5145,                0.60682,                0.65503,                0.61674,                0.26989,                 1.8109,                 1.7253,                 1.8945,               0.001703,               0.001703,               0.001703
                     12,                 1.7223,                 1.1299,                 1.5105,                0.66964,                 0.6681,                0.66457,                0.29465,                 1.6674,                 1.4278,                 1.7459,                0.00167,                0.00167,                0.00167
                     13,                 1.6315,                 1.0673,                  1.461,                0.59875,                0.65363,                0.61095,                0.27206,                 1.8178,                 1.7296,                 1.8987,               0.001637,               0.001637,               0.001637
